"ABI" "Curso" "Turno" "Materia" "Conceito" "CPFEncrypted" "Posmateria" "StatusFinal" "TempoPermanencia"
"121" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO NUMERICO" "Inconcluído" "490" 4 "FORMATURA" 11
"122" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "EQUACOES DIFERENCIAIS 1" "Inconcluído" "490" 5 "FORMATURA" 11
"123" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "MATEMATICA 1" "CC" "490" 1 "FORMATURA" 11
"124" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO NUMERICO" "MM" "490" 5 "FORMATURA" 11
"125" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "DEMOGRAFIA" "MS" "490" 5 "FORMATURA" 11
"126" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO 2" "Inconcluído" "490" 2 "FORMATURA" 11
"127" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO 3" "MM" "490" 5 "FORMATURA" 11
"128" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO DE PROBABILIDADE 1" "MS" "490" 6 "FORMATURA" 11
"129" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "ANALISE MULTIVARIADA 1" "SS" "490" 8 "FORMATURA" 11
"130" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "INFERENCIA ESTATISTICA" "MM" "490" 7 "FORMATURA" 11
"131" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "INTRODUCAO A ALGEBRA LINEAR" "MM" "490" 2 "FORMATURA" 11
"132" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "ESTAGIO SUPERVISIONADO EM ESTATISTICA 2" "SS" "490" 10 "FORMATURA" 11
"133" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO 1" "MM" "490" 1 "FORMATURA" 11
"134" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "ESTATISTICA EXPLORATORIA 1" "MS" "490" 1 "FORMATURA" 11
"135" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "TECNICAS DE AMOSTRAGEM" "MS" "490" 8 "FORMATURA" 11
"136" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO DE PROBABILIDADE 2" "MM" "490" 8 "FORMATURA" 11
"137" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "ESTAGIO SUPERVISIONADO EM ESTATISTICA 1" "SS" "490" 9 "FORMATURA" 11
"138" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "EQUACOES DIFERENCIAIS 1" "MM" "490" 6 "FORMATURA" 11
"139" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "PLANEJAMENTO E PESQUISA 1" "MM" "490" 8 "FORMATURA" 11
"140" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO NUMERICO" "MM" "49" 5 "FORMATURA" 13
"141" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO 2" "MM" "49" 3 "FORMATURA" 13
"142" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "EQUACOES DIFERENCIAIS 1" "MS" "49" 4 "FORMATURA" 13
"143" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "ESTAGIO SUPERVISIONADO EM ESTATISTICA 1" "MS" "49" 9 "FORMATURA" 13
"144" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "INTRODUCAO A PROBABILIDADE" "MM" "49" 2 "FORMATURA" 13
"145" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "INFERENCIA ESTATISTICA" "MM" "49" 7 "FORMATURA" 13
"146" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO DE PROBABILIDADE 1" "Inconcluído" "49" 5 "FORMATURA" 13
"147" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "ESTATISTICA EXPLORATORIA 2" "MS" "49" 2 "FORMATURA" 13
"148" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "ESTAGIO SUPERVISIONADO EM ESTATISTICA 2" "SS" "49" 11 "FORMATURA" 13
"149" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "ESTATISTICA EXPLORATORIA 1" "MS" "49" 1 "FORMATURA" 13
"150" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "TECNICAS DE AMOSTRAGEM" "MS" "49" 8 "FORMATURA" 13
"151" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO DE PROBABILIDADE 1" "MS" "49" 6 "FORMATURA" 13
"152" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "ESTAGIO SUPERVISIONADO EM ESTATISTICA 2" "Inconcluído" "49" 10 "FORMATURA" 13
"153" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "APLICACOES DA ESTATISTICA 1" "MM" "49" 10 "FORMATURA" 13
"154" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO 1" "MM" "49" 1 "FORMATURA" 13
"155" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "INTRODUCAO A ALGEBRA LINEAR" "MM" "49" 3 "FORMATURA" 13
"156" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "METODOS ESTATISTICOS 1" "MM" "49" 3 "FORMATURA" 13
"157" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO 3" "MM" "49" 4 "FORMATURA" 13
"158" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "PLANEJAMENTO E PESQUISA 1" "MM" "49" 8 "FORMATURA" 13
"159" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CONTROLE ESTATISTICO DE QUALIDADE" "SS" "49" 8 "FORMATURA" 13
"160" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "ANALISE MULTIVARIADA 1" "MS" "49" 8 "FORMATURA" 13
"161" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO DE PROBABILIDADE 2" "MM" "49" 8 "FORMATURA" 13
"162" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "DEMOGRAFIA" "MS" "49" 5 "FORMATURA" 13
"163" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO 2" "Inconcluído" "49" 2 "FORMATURA" 13
"164" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "INFERENCIA ESTATISTICA" "Inconcluído" "115" 1 "NÃO FORMATURA" 3
"165" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO 3" "CC" "115" -31 "NÃO FORMATURA" 3
"166" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "EQUACOES DIFERENCIAIS 1" "CC" "115" -31 "NÃO FORMATURA" 3
"167" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO DE PROBABILIDADE 1" "Inconcluído" "115" 2 "NÃO FORMATURA" 3
"168" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO 2" "CC" "115" -31 "NÃO FORMATURA" 3
"169" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO DE PROBABILIDADE 1" "MM" "115" 4 "NÃO FORMATURA" 3
